SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:35:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;003/SUREG-SP/019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
ICP625;;SEDIMENTO CORRENTE;2150;1690;1674;98,76;21;1,24;I.S.;I.S.;I.S.;<0,01;0,64;5;<10;184;0,8;0,1;0,11;0,09;25,03;11;27;0,78;6,3;3,04;2,3;<0,1;<0,05;<0,01;<0,02;0,08;11,2;6;0,07;0,13;702;0,43;0,01;0,89;14,7;505;12,1;8,3;<0,1;<0,01;0,24;1,8;<1;0,8;12,6;<0,05;0,33;<0,05;3,6;0,02;0,06;0,76;42;0,2;7,81;0,5;29;2,1
ICP626;;SEDIMENTO CORRENTE;2120;1690;1520;90,21;165;9,8;17;<10;<10;<0,01;0,63;3;<10;94;0,7;0,07;0,06;0,03;26,54;2,2;5;1;3,3;1,06;2,4;<0,1;<0,05;0,01;<0,02;0,1;14;3;0,07;0,05;247;0,56;0,03;2,08;2,5;190;8,9;10,3;<0,1;0,01;0,19;0,8;<1;1,2;22,7;<0,05;0,25;<0,05;6,7;0,03;0,06;1,59;9;0,3;6,75;0,5;21;2,2
ICP627;;SEDIMENTO CORRENTE;2350;1880;1766;93,96;114;6,04;<10;<10;<10;0,01;0,48;2;<10;122;0,4;0,09;0,09;0,03;23,43;5,4;19;0,62;5;2,23;1,7;<0,1;0,09;<0,01;<0,02;0,11;10,6;5;0,05;0,11;332;0,43;0,03;0,52;7,4;266;7,8;7;<0,1;<0,01;0,19;1,3;<1;0,7;9;<0,05;0,21;<0,05;3,7;0,03;0,05;0,51;32;0,1;4,61;0,4;18;5,6
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICP627;;REP;--;--;--;--;--;--;--;--;--;0,03;0,47;2;<10;122;0,5;0,1;0,09;0,04;24,2;5,5;19;0,61;4,9;2,21;1,7;<0,1;0,09;<0,01;<0,02;0,11;11;5;0,05;0,11;325;0,47;0,03;0,53;7,2;267;8,2;6,9;<0,1;<0,01;0,21;1,3;<1;0,7;9,3;<0,05;0,22;<0,05;3,7;0,03;0,05;0,55;31;0,1;4,72;0,4;18;6,1
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OREAS46;;STD;--;--;--;--;--;--;--;--;--;0,03;0,68;<1;<10;56;0,1;0,05;0,55;0,03;24,52;5,5;23;0,35;23,2;1,37;2,5;0,1;0,14;<0,01;<0,02;0,11;13,9;7;0,05;0,42;247;0,68;0,08;0,49;16,3;586;1,9;6,1;<0,1;<0,01;0,08;2,4;<1;0,6;23;<0,05;0,17;<0,05;2,3;0,06;0,06;0,37;18;<0,1;4,73;0,4;19;5,1
OREAS47;;STD;--;--;--;--;--;--;--;--;--;0,08;0,72;9;<10;61;0,2;0,16;0,48;0,53;46,57;50,5;28;1,2;157;1,49;2,8;<0,1;0,19;<0,01;0,03;0,11;23,2;9;0,06;0,43;260;12,98;0,08;1,57;74,6;566;276,4;7;<0,1;0,05;0,24;2,7;<1;2,4;27,9;<0,05;0,21;<0,05;2,9;0,06;0,08;0,42;20;0,2;5,23;0,4;209;5,7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
