;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
ICP661;;SEDIMENTO CORRENTE;2570;1910;1595;85,02;281;14,98;<10;<10;<10;<0,01;2,18;13;<10;291;1,2;0,13;0,51;0,08;52,2;24,6;181;1,71;36,7;3,49;8,7;<0,1;0,38;0,05;0,03;0,1;27,7;17;0,09;1,25;806;0,21;0,05;0,84;108,5;476;19;12,2;<0,1;<0,01;0,68;7,8;<1;1;77,4;<0,05;0,4;<0,05;3,6;0,11;0,08;1,51;67;0,3;9,47;0,6;67;14,6
ICP662;;SEDIMENTO CORRENTE;2420;1910;1534;80,46;373;19,54;<10;<10;<10;<0,01;0,9;3;<10;217;1,1;0,13;0,18;0,06;34,04;5,7;21;1,22;7,9;1,57;3,1;<0,1;0,07;0,02;<0,02;0,1;18,9;11;0,1;0,23;466;0,28;0,02;0,7;10,3;326;9,9;14,2;<0,1;0,01;0,27;2,1;<1;0,6;14,2;<0,05;0,42;<0,05;2,3;0,03;0,09;0,8;27;0,2;11,1;0,7;33;2
ICP663;;SEDIMENTO CORRENTE;2380;1880;1565;83,31;314;16,69;<10;<10;<10;<0,01;1;4;<10;209;1,1;0,13;0,2;0,06;33,87;7,9;22;1,41;7,1;2,09;3,3;<0,1;0,08;<0,01;<0,02;0,12;17,9;15;0,1;0,27;692;0,45;0,02;0,71;11,9;330;13,1;14,2;<0,1;<0,01;0,29;2,3;<1;0,6;14,2;<0,05;0,42;<0,05;2,9;0,03;0,1;0,81;32;0,2;11,01;0,7;40;3,6
ICP664;;SEDIMENTO CORRENTE;2030;1580;1530;97,39;41;2,61;I.S.;I.S.;I.S.;<0,01;1,07;3;<10;246;0,9;0,08;0,35;0,04;44,15;12,1;33;0,76;13,9;3,08;4;<0,1;0,19;<0,01;<0,02;0,13;20,7;12;0,11;0,37;625;0,46;0,04;1,22;14,4;924;12,7;9,9;<0,1;0,01;0,2;3,8;<1;0,7;30,5;<0,05;0,43;<0,05;2,7;0,1;0,07;0,7;55;<0,1;11,09;0,8;45;9,4
ICP665;;SEDIMENTO CORRENTE;2200;1743;1642;94,48;96;5,52;I.S.;I.S.;I.S.;<0,01;2,02;4;<10;258;0,8;0,09;0,54;0,14;41,51;37,7;74;1,06;44,4;5,32;6,9;<0,1;0,15;0,02;0,03;0,1;18,9;17;0,14;0,73;1206;0,45;0,02;0,87;36,3;632;15,9;12,1;<0,1;<0,01;0,22;9,7;<1;0,7;26,6;<0,05;0,5;<0,05;2,8;0,13;0,09;0,62;124;<0,1;13,77;1;69;6,6
ICP666;;SEDIMENTO CORRENTE;2230;1712;1438;84,04;273;15,96;<10;11;<10;1,47;1,74;11;<10;616;0,8;0,12;0,55;0,04;43,88;22,4;179;1,11;231,9;3,82;6,4;<0,1;0,29;0,06;0,02;0,11;21;17;0,07;1,49;668;0,39;0,06;0,76;96,9;713;15,4;10;<0,1;0,02;1,26;6,1;<1;1,2;66,5;<0,05;0,3;<0,05;2,8;0,12;0,06;1,06;73;0,3;6,82;0,5;60;13,9
ICP667;;SEDIMENTO CORRENTE;2390;1830;1601;87,53;228;12,47;<10;<10;<10;<0,01;0,75;4;<10;125;0,8;0,11;0,16;0,02;27,67;6,6;35;0,8;6,5;2,46;2,8;<0,1;0,1;0,01;<0,02;0,12;17;10;0,06;0,23;359;0,35;0,04;0,99;15;358;10,6;9,6;<0,1;<0,01;0,35;1,9;<1;1,1;15,7;<0,05;0,26;<0,05;4;0,06;0,06;0,75;44;0,3;6,14;0,4;26;5,6
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;<0,01;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,69;0,2;6;<0,05;1;0,7;0,2;<0,1;<0,05;<0,01;<0,02;<0,01;0,3;<1;<0,01;<0,01;98;0,39;<0,01;0,23;1,5;<50;<0,2;<0,2;<0,1;<0,01;<0,05;0,1;<1;<0,3;2,8;<0,05;<0,02;<0,05;0,2;<0,01;<0,02;<0,05;<1;0,1;0,08;<0,1;1;0,6
ICP668;;SEDIMENTO CORRENTE;2490;2070;1933;93,54;134;6,46;15;<10;<10;<0,01;0,59;2;<10;124;0,5;0,08;0,15;0,04;49,59;8,6;48;0,4;7,7;3,62;3,3;<0,1;0,17;<0,01;<0,02;0,09;26,1;3;0,08;0,19;429;0,3;0,04;0,85;13,2;318;13,8;6,4;<0,1;<0,01;0,22;1,9;<1;1;20,6;<0,05;0,36;<0,05;10,9;0,1;0,05;0,79;87;<0,1;7,54;0,6;27;8,1
ICP669;;SEDIMENTO CORRENTE;2310;1690;1580;93,8;105;6,21;<10;<10;<10;<0,01;1,24;9;<10;146;1,3;0,15;0,16;0,24;31,41;27,7;45;0,88;35,3;4,86;4,9;0,1;0,07;0,01;0,03;0,15;13,9;15;0,13;0,25;1055;1,02;0,02;0,59;46,3;651;17,9;11,9;<0,1;0,01;0,44;4,6;<1;0,5;15,2;<0,05;0,54;<0,05;3;0,02;0,08;0,64;47;0,1;11,74;1;76;3,3
